V1,V2
Apicomplexa,Eukaryotome
Arthropoda,passing material
Ascomycota,Eukaryotome
Basidiomycota,Eukaryotome
Blastocladiomycota,passing material
Cercozoa,Eukaryotome
Chlorophyta,passing material
Chordata,Food items
Chytridiomycota,passing material
Ciliophora,Eukaryotome
Dinoflagellata,passing material
Euglenozoa,Eukaryotome
Eustigmatophyceae,passing material
Microsporidia,Eukaryotome
Nematoda,Eukaryotome
Neocallimastigomycota,passing material
Ochrophyta,passing material
Parabasalia,Eukaryotome
Peronosporomycetes,passing material
Phragmoplastophyta,undetermined role
Platyhelminthes,Eukaryotome
Protalveolata,undetermined role
Rotifera,passing material
Schizoplasmodiida,undetermined role
Streptophyta,passing material
Zygomycota,Eukaryotome
